artist_id,artist_name_fa,category,candidate_rank,channel_id,channel_title,channel_description,published_at,source_query,manual_status,candidate_type,notes,api_channel_title,api_channel_description,custom_url,country,channel_published_at,view_count,subscriber_count,hidden_subscriber_count,video_count
1,همایون شجریان,classic_fusion,1,UCmBIX3tItWTCmbkcARiyZkg,Homayoun Shajarian,The official YouTube Channel of Homayoun Shajarian |,2020-12-27T08:43:42Z,همایون شجریان,pending_review,unknown,,Homayoun Shajarian,"| The official YouTube Channel of Homayoun Shajarian |

",@homayounshajarianchannel,DE,2020-12-27T08:43:42.268504Z,32707763,103000,False,269
1,همایون شجریان,classic_fusion,2,UCHyzCBAeqe9YYeUC4QCwPQw,Homayoun Shajarian - Topic,,2013-12-20T20:53:25Z,همایون شجریان,pending_review,unknown,,Homayoun Shajarian - Topic,,,,2013-12-20T20:53:25Z,7600007,11800,False,292
1,همایون شجریان,classic_fusion,3,UC7zsmnc17R-LSTV4Dl5sN2w,Homayounshajarian fans,''دوستداران‌همایون‌شجریان'' ╰همایون‌زرین╮ ˵دچارتو‌نمی‌کند دل‌ازهوای‌تو˶,2024-12-25T14:21:36Z,همایون شجریان,pending_review,unknown,,Homayounshajarian fans,"‘’دوستداران‌همایون‌شجریان‘’
╰همایون‌زرین╮
˵دچارتو‌نمی‌کند
دل‌ازهوای‌تو˶",@homayounzarin,,2024-12-25T14:21:36.47386Z,3530689,4250,False,128
1,همایون شجریان,classic_fusion,4,UCFFQe4CXlW1obCcgkKGEd9A,moosighie  sonati,ویدئوهای کوتاه استاد شجریان ،آشنایی با دستگاههای موسیقی ایرانی، کمی هم آموزش سه تار.,2012-09-21T07:18:21Z,همایون شجریان,pending_review,unknown,,moosighie  sonati,ویدئوهای کوتاه استاد شجریان ،آشنایی با دستگاههای موسیقی ایرانی، کمی هم آموزش سه تار,@moosighie_sonati,US,2012-09-21T07:18:21Z,3947846,4200,False,839
1,همایون شجریان,classic_fusion,5,UCxF3Fc_cSQbbkBNOUh5Kj2g,استاد محمد رضاشجریان shajaryan,,2017-01-10T11:17:10Z,همایون شجریان,pending_review,unknown,,استاد محمد رضاشجریان shajaryan,,@shajaryan2887,,2017-01-10T11:17:10Z,1688994,10800,False,489
2,علیرضا قربانی,classic_fusion,1,UCregxQqAisNcggQriK9f3Qw,Alireza Ghorbani,Official Channel of Alireza Ghorbani Iranian Singer And Musician Alireza Ghorbani was born in 1972 in Tehran. He started his ...,2017-01-18T10:57:21Z,علیرضا قربانی,pending_review,unknown,,Alireza Ghorbani,"Official Channel of Alireza Ghorbani
Iranian Singer And Musician
Alireza Ghorbani was born in 1972 in Tehran. He started his vocal lessons when he was 12, and he was a solo vocalist of National Orchestra when he was 27. Alireza Ghorbani also became at thirty years a foreground singer of the Persian song. His very ramified repertory constitutes the radif and the tasnif, whose vocal rarest techniques are very well controlled from him. He occurs in small formation, with four musicians, as with the national Orchestra of Iran

t.me/AlirezaGhorbaniOfficial
",@alirezaghorbaniofficial,US,2017-01-18T10:57:21Z,40906129,74500,False,113
2,علیرضا قربانی,classic_fusion,2,UC_xcDPW-ARj59n1qhYaLOqQ,Alireza Ghorbani - Topic,"Alireza Ghorbani was born in February 4th 1972 in Tehran. He started his vocal lessons when he was 12, and he was a solo ...",2013-10-24T07:35:04Z,علیرضا قربانی,pending_review,unknown,,Alireza Ghorbani - Topic,"Alireza Ghorbani was born in February 4th 1972 in Tehran. He started his vocal lessons when he was 12, and he was a solo vocalist of National Orchestra when he was 27. Alireza Ghorbani also became at thirty years a foreground singer of the Persian song. His very ramified repertory constitutes the radif and the tasnif, whose vocal rarest techniques are very well controlled from him. He occurs in small formation, with four musicians, as with the national Orchestra of Iran.

Alireza Ghorbani is a great artist deeply rooted in the tradition but also of an insatiable curiosity and a large open-mindedness with respect to the other cultures.

The handsomely chiseled features of Ali Reza Ghorbani have become part of the new generation of Iranian singers of classical Persian music. Born in the midst of the turbulence of 1970s and 80s Iran, Ghorbani has laid claims to being a worthy successor of the man regarded as the undisputed master of Persian classical song, Mohammed Reza Shajarian.

He has released 19 albums in Iran and Europe until now. Also he participated in several international projects, some multi-cultural (Iran, France, India, Mali) projects in Europe like: Le Rhythm De La Parole, SOUFFLES DU MONDE (released in Europe) and some other projects such as cooperation with Dorsaf Hamdani Tunisian singer, concert with the Dusseldorf Symphony Orchestra, Concert with Kamel Orchestra Vienna, performance at the Cologne Philharmonic, and concert with the Vancouver Opera Orchestra.",,,2013-10-24T07:35:04Z,6994102,1120,False,333
2,علیرضا قربانی,classic_fusion,3,UC3dY0Ol9JfHmXQ4z4TkyaKg,علیرضا قربانی,,2025-05-31T08:58:38Z,علیرضا قربانی,pending_review,unknown,,علیرضا قربانی,,@alereza4999,,2025-05-31T08:58:38.94782Z,2085,3,False,10
2,علیرضا قربانی,classic_fusion,4,UC9AlrY_v_HAz3WLnMCl1OgQ,علیرضا قربانی,,2024-03-23T22:40:15Z,علیرضا قربانی,pending_review,unknown,,علیرضا قربانی,,@علیرضاقربانی-ي4ج,,2024-03-23T22:40:15.309656Z,982,4,False,6
2,علیرضا قربانی,classic_fusion,5,UCtsKNmdgKjmlswHNOVrl85Q,علیرضا قربانی,,2025-01-11T17:49:17Z,علیرضا قربانی,pending_review,unknown,,علیرضا قربانی,,@علیرضاقربانی-ظ4ش,,2025-01-11T17:49:17.856698Z,4,0,False,1
3,محسن چاووشی,pop,1,UCFnc_tL9if9l5As18rnAyGA,Mohsen Chavoshi,Welcome to the Official Channel Of Mohsen Chavoshi.,2012-10-05T22:09:31Z,محسن چاووشی,pending_review,unknown,,Mohsen Chavoshi,"Welcome to the Official Channel Of Mohsen Chavoshi



",@chavoshiofficial,DE,2012-10-05T22:09:31Z,173430665,237000,False,98
3,محسن چاووشی,pop,2,UCw5LO6ba1yNC3cps4Zu_1Hg,Mohsen Chavoshi - Topic,,2013-12-21T02:36:54Z,محسن چاووشی,pending_review,unknown,,Mohsen Chavoshi - Topic,,,,2013-12-21T02:36:54Z,26680087,2280,False,407
3,محسن چاووشی,pop,3,UC51V8YOZyP1qTqvkdeENZKA,Mohamad Art,After Effect • Motion graphics • designer.,2021-10-27T13:32:26Z,محسن چاووشی,pending_review,unknown,,Mohamad Art,"• After Effect
• Motion graphics
• designer",@mohamadart7539,,2021-10-27T13:32:26.53932Z,10261,62,False,17
3,محسن چاووشی,pop,4,UCUCF3K8DbB4OeI_imhse38Q,محسن چاووشی,,2022-03-31T11:29:01Z,محسن چاووشی,pending_review,unknown,,محسن چاووشی,,@محسنچاووشی-ق6ث,,2022-03-31T11:29:01.1188Z,2,0,False,1
3,محسن چاووشی,pop,5,UCNIyL48Wnjc9i8cHs5kmLhw,محسن چاووشی,,2022-01-03T16:37:18Z,محسن چاووشی,pending_review,unknown,,محسن چاووشی,,@محسنچاووشی-ت9ظ,,2022-01-03T16:37:18.145448Z,0,0,False,1
4,فرزاد فرزین,pop,1,UCMQ39QYA6tpAu_ZDaOWn7IQ,Farzad Farzin,I am Farzad Farzin and this is my official YouTube channel. You can find link to this YouTube account on my website: ...,2014-11-30T15:23:39Z,فرزاد فرزین,pending_review,unknown,,Farzad Farzin,"I am Farzad Farzin and this is my official YouTube channel.

You can find link to this YouTube account on my website:
http://farzadfarzin.net
http://t.me/farzadfarzin2",@farzadfarzinnet,US,2014-11-30T15:23:39Z,70480409,75300,False,184
