channel_id,api_channel_title,custom_url,country,subscriber_count,video_count,view_count,api_channel_description
UCkD9OfpMEjuCHgsWH0aYqRw,Bamzo | بامزو,@bamzoofficial,TR,167000,3011,556190962,"A world full of laughter, fun and cool things!
From challenges and jokes to funny moments 😎
Every day a new mood, a new video 🎥
یه دنیای پر از خنده، سرگرمی و چیزای باحال!
از چالش و شوخی گرفته تا لحظه‌های خفن 😎
هر روز یه حالِ جدید، یه ویدیو جدید 🎥
"
UCIsP6PqqS0IJ4tQroGs39dA,Iranian Diaspora | خانه ایرانیان خارج از کشور 🌍,@iraniandiaspora,TR,3840,910,2837128,"Welcome to Iranian Diaspora

A global community for Iranians living abroad and Persian speakers around the world.

This channel covers: • Iranian lifestyle abroad • Immigration experiences • Travel and tourism • Iranian culture and traditions • News and stories from Iranians worldwide • Entertainment and educational content

More than 6 million Iranians live outside Iran. This channel aims to connect Iranians across the globe and create a bridge between communities in the United States, Canada, Europe, Turkey, Australia, the UAE, and beyond.

🌍 Website: https://www.0098.link

📺 YouTube: https://www.youtube.com/@iraniandiaspora

بیش از ۶ میلیون ایرانی در خارج از کشور زندگی می‌کنند. این کانال برای ایرانیان و فارسی‌زبانان سراسر جهان ایجاد شده است تا فرهنگ، سبک زندگی، تجربه‌ها و اخبار جامعه ایرانیان خارج از کشور را پوشش دهد.

#IranianDiaspora #IraniansAbroad #PersianCommunity #IranianExpats #IraniansWorldwide

"
UCLqt9UYZ1KHgPRfGJjIzX9A,Majid Noori,@mjnoori,,763,95,342414,
UCM-IfEJlVROv5Ev04-uIbKg,RapFars,@rap-fars,AE,11300,362,19556957,"به کانال رپفارس خوش آمدید 🥷
اخبار رپفارسی و ری اکشن و کلیپ های نوستالژی رپفارسی 
شب ها ساعت ۲۱ به وقت ایران لایو فری استایل رپفارسی و گفت و گو با مخاطبان داریم
حامی نسل جوان رپ فارسی 
@RapFarsi_TV   @Rap-Fars  @Rap4me
4my.production@gmail.com
"
UCPXz0-xxF-CpeygWBdyG8dg,Semi Journey,@semijourney5256,,386,89,131341,Virtual tours of around the world با من جاذبه ها رو ببین
UCQycZB9MF-PAouhfh_DCk7Q,NAVID KARATE,@navidkarate,,93,2,18410,
UCU5NicMWNILYk1nbxJkCzsA,Faranak99,@faranak99,,7110,23,5317724,
UCZ_EaorXnxxb-lr4Et2AZaQ,ژلوفن,@zheluofen_1,US,41700,731,99015946,"صفحه هنری ژلوفن🌱
‌🕊جایی برای تسکین روح
🔰همنشینی (موزیک تصویر متن)🕊
"
UCaBf4RgTCzJIEnvOlNuxYKw,Sedkhareji | سدخارجی,@sedkhareji,TR,6560,238,3715765,
UCbH4g2hM_uquaz5oqnfuCcQ,Persian Music & Concerts,@persianmusicconcerts9147,,540,18,287237,
UCd26HBP85gdHjA_BXfDJS0Q,siavash1994,@siavash1994,,887,23,589994,"برای دیدن کلیب های بیشتر به اینجا را کلیک کنید
              http://www.youtube.com/siavashoo

http://www.facebook.com/people/Siavash-Avana/100000706024930"
UCg-gC2zxNjttTUiPMSuBydA,musics 212,@musics2123,,290,22,67024,
UChdqGZPSamzW8MgaopXHvcA,Karizmaplus,@karizmaplus,AE,2840,759,1658389,"Arts and entertainment, business and media, Celebrity, and world affairs—karizmaplus’s features and exclusive videos capture the people, places, and ideas that define modern culture.
Media strategist : abbasvardi"
UCiEK11dphMbDnbSXNvLOFCg,AmirSadegh Rassouli,@amirsadegh,,1890,5,606282,
UCk4z-69inYrGU91ekoiAdGA,FSocietySJ,@fsocietysj,,3590,17,1690088,Music is the literature of the heart; it commences where speech ends.
UCkFy4v0k9tDYr0bYPiYu8MQ,Passions,@passionsinternational,FR,8590,301,1288145,"Hi, 
Learn languages with songs, discover Various Cultures, Countries, through their music. 
I; Sophie; speak well 8 languages, 5 of them I have started with songs, so I am here to help you achieve your dream too. These are personal translated lyrics. The scripts in the original languages, as well as the Latinization of the words, are done by myself.
With images of the country that the song is from or related to the lyrics or pictures of the artists instead of a blank background..
I will be adding traditional instruments music that I love which are relaxing. Rain sounds are from Normandy where I live at the moment. 
I have also started to make greetings cards in different languages, you may ask personalization with a name/message, I'll do it just for you to share :) 
thx anyway for visiting my channel hoping that you enjoyed it !"
UClXh_eGGA6q5qQ5QBhjLTFw,idehistaofficial,@idehistaofficial,,390,28,58879,"ایستا مگنت پلتفرمی‌ست برای گفت‌وگو با چهره‌های اثرگذار و الهام بخش معاصر ایران.
در پروژه‌ی «ایده ایستا»، به سراغ افرادی می‌رویم که آثارشان صرفاً بازتاب زمان نیست، بلکه بر شکل‌گیری و درک ما از زمانه تأثیر می‌گذارند.
هر ویدیو، روایتی‌ست از مسیر، تجربه و انتخاب‌هایی که به خلق اثر انجامیده‌اند.


"
